CONSIGNEE_NAME,SHIPPER_NAME,TARIFF_CODE,GROSS_WEIGHT_KG,ITEM_VALUE_USD,PORT_OF_LOADING,ARRIVAL_DATE
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,6404.11,47179.3,1532874.35,Long Beach,2026-03-01
Tesla Motors INC,Vietnam Manuf Group,8517.12,5242.05,1751513.37,Los Angeles,2025-05-02
Samsung Electronics INC,TSMC,3923.10,39287.24,1187181.05,Los Angeles,2025-11-14
Nike Inc. CORP,Pou Chen Corp,8703.80,10770.67,1701237.02,Rotterdam,2025-06-22
NIKE USA INC,Foxconn Technology,3923.10,45797.31,1509100.85,Shanghai,2025-03-28
NIKE USA ,TSMC,8542.31,35890.84,1314890.86,Rotterdam,2026-03-05
NIKE USA INC,Vietnam Manuf Group,3923.10,9740.82,1632397.06,Shanghai,2026-02-17
Yeti Coolers LLC ,Vietnam Manuf Group,6404.11,36386.16,1779145.32,Shanghai,2025-03-24
Yeti Coolers LLC LTD,Foxconn Technology,6404.11,17948.56,982171.0,Shenzhen,2025-10-02
YETI CUSTOM DOMESTIC ,LG Chem,8542.31,42946.58,1518424.49,Ho Chi Minh,2026-03-12
NIKE USA ,BYD Auto,8517.12,9252.24,636774.38,Rotterdam,2026-02-01
Apple Inc. CORP,BYD Auto,8703.80,39738.5,1158705.4,Rotterdam,2026-03-15
Tesla Motors ,Foxconn Technology,8703.80,33047.24,587045.49,Rotterdam,2025-03-27
Yeti Coolers LLC ,Pou Chen Corp,8703.80,26748.13,1358419.72,Ho Chi Minh,2025-04-03
NIKE USA ,Foxconn Technology,3923.10,23777.9,1153544.96,Ho Chi Minh,2025-07-01
Tesla Motors LTD,Shenzhen Plastics Co,8703.80,33798.68,1748768.22,Shenzhen,2025-11-24
NIKE USA INC,BYD Auto,3923.10,18409.27,430755.81,Shenzhen,2026-01-21
Nike Inc. CORP,Shenzhen Plastics Co,8542.31,13161.85,589637.33,Long Beach,2025-04-10
APPLE OPERATIONS INTL INC,Pou Chen Corp,8703.80,18161.93,1930220.43,Long Beach,2025-04-16
Samsung Electronics LTD,Pou Chen Corp,8517.12,48797.84,1841464.77,Rotterdam,2025-08-02
APPLE OPERATIONS INTL LTD,Foxconn Technology,8703.80,17355.04,1127434.6,Rotterdam,2025-12-15
Samsung Electronics CORP,BYD Auto,8542.31,43870.68,525331.32,Shenzhen,2026-02-13
APPLE OPERATIONS INTL LTD,BYD Auto,8542.31,7910.25,1333815.03,Long Beach,2025-05-31
Samsung Electronics ,LG Chem,8517.12,36498.84,135840.74,Long Beach,2025-08-24
APPLE OPERATIONS INTL INC,Pou Chen Corp,6404.11,29260.22,1595725.22,Los Angeles,2025-10-26
Nike Inc. INC,Shenzhen Plastics Co,8703.80,26281.4,135616.72,Los Angeles,2025-12-14
Yeti Coolers LLC ,LG Chem,6404.11,16105.77,1595504.68,Shenzhen,2026-02-06
Nike Inc. CORP,BYD Auto,8542.31,28074.08,484697.54,Los Angeles,2025-12-03
Samsung Electronics ,Pou Chen Corp,8517.12,24290.25,432577.86,Rotterdam,2025-08-28
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8703.80,19890.99,433613.68,Ho Chi Minh,2025-05-01
NIKE USA INC,TSMC,6404.11,2899.49,221310.74,Shenzhen,2025-09-17
Apple Inc. ,TSMC,8517.12,36188.51,1495907.98,Shanghai,2025-09-14
Yeti Coolers LLC ,Foxconn Technology,8703.80,31463.0,1459856.32,Ho Chi Minh,2026-02-16
APPLE OPERATIONS INTL ,BYD Auto,6404.11,22865.19,120856.47,Shanghai,2025-09-29
Apple Inc. LTD,Pou Chen Corp,8517.12,21074.77,1477065.91,Shanghai,2025-04-20
Tesla Motors INC,LG Chem,3923.10,16302.68,1340310.02,Los Angeles,2025-09-04
Tesla Motors LTD,BYD Auto,8517.12,47929.78,121693.56,Los Angeles,2025-07-16
APPLE OPERATIONS INTL ,Foxconn Technology,3923.10,36674.32,1095371.73,Long Beach,2026-03-04
Nike Inc. INC,Foxconn Technology,8542.31,15467.35,1098875.61,Ho Chi Minh,2025-08-18
Yeti Coolers LLC INC,Pou Chen Corp,8703.80,4657.67,1980625.84,Long Beach,2026-02-21
Nike Inc. ,BYD Auto,8542.31,32153.02,1159015.35,Shanghai,2025-08-04
APPLE OPERATIONS INTL CORP,BYD Auto,6404.11,18903.88,651753.03,Rotterdam,2025-11-08
Yeti Coolers LLC LTD,Vietnam Manuf Group,3923.10,25592.99,1311126.22,Ho Chi Minh,2025-09-06
Yeti Coolers LLC CORP,Vietnam Manuf Group,8703.80,45348.67,405463.84,Long Beach,2026-01-07
Samsung Electronics INC,Foxconn Technology,8517.12,38962.14,1175571.8,Shenzhen,2026-03-08
Tesla Motors INC,BYD Auto,8703.80,14048.73,1776703.22,Los Angeles,2025-05-02
Apple Inc. CORP,Shenzhen Plastics Co,8703.80,20492.83,1780982.17,Los Angeles,2025-12-16
Yeti Coolers LLC LTD,LG Chem,3923.10,44546.77,362614.72,Los Angeles,2026-01-06
APPLE OPERATIONS INTL ,Pou Chen Corp,6404.11,17633.09,1074478.53,Shanghai,2025-09-28
Tesla Motors LTD,Pou Chen Corp,3923.10,31047.87,1030220.37,Los Angeles,2025-04-02
Yeti Coolers LLC INC,LG Chem,8703.80,2781.11,546040.96,Shenzhen,2025-08-28
Nike Inc. CORP,LG Chem,3923.10,22888.27,630437.86,Shanghai,2025-05-08
Tesla Motors INC,Foxconn Technology,8703.80,49464.84,58624.98,Los Angeles,2025-11-14
NIKE USA ,Vietnam Manuf Group,3923.10,49517.02,1589952.69,Rotterdam,2025-11-04
YETI CUSTOM DOMESTIC ,Foxconn Technology,3923.10,18615.3,670614.73,Shanghai,2025-08-05
Nike Inc. ,Vietnam Manuf Group,3923.10,8306.14,1022922.62,Ho Chi Minh,2025-09-28
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,6404.11,17288.63,1005020.91,Ho Chi Minh,2025-06-17
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,8703.80,46880.88,1304314.14,Long Beach,2025-05-11
Nike Inc. CORP,Foxconn Technology,3923.10,22312.48,1009170.68,Los Angeles,2026-01-24
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,3923.10,39294.22,1464388.15,Rotterdam,2025-08-07
NIKE USA LTD,LG Chem,8517.12,8510.49,933690.59,Ho Chi Minh,2025-03-23
NIKE USA ,Vietnam Manuf Group,8703.80,34287.5,1169916.18,Ho Chi Minh,2025-10-13
YETI CUSTOM DOMESTIC ,Pou Chen Corp,8542.31,39176.06,1769416.92,Los Angeles,2025-08-01
Samsung Electronics CORP,Vietnam Manuf Group,6404.11,41704.51,1290771.98,Shenzhen,2025-11-19
Nike Inc. INC,Vietnam Manuf Group,3923.10,47087.88,1828152.37,Ho Chi Minh,2025-09-03
Yeti Coolers LLC CORP,Vietnam Manuf Group,6404.11,36609.86,956409.27,Long Beach,2025-08-20
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,8542.31,34224.86,577587.01,Shenzhen,2025-08-30
Samsung Electronics CORP,Pou Chen Corp,8517.12,39030.25,1523764.89,Ho Chi Minh,2026-01-02
Nike Inc. ,Pou Chen Corp,8542.31,13753.15,393849.91,Los Angeles,2026-01-04
Nike Inc. CORP,Vietnam Manuf Group,3923.10,46372.3,1198227.92,Los Angeles,2025-04-15
NIKE USA LTD,Foxconn Technology,6404.11,46811.88,680626.86,Shanghai,2025-06-21
YETI CUSTOM DOMESTIC ,Pou Chen Corp,8542.31,18728.57,360492.37,Rotterdam,2025-06-25
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,8542.31,28669.15,530715.1,Rotterdam,2025-12-01
Yeti Coolers LLC INC,BYD Auto,6404.11,41328.38,535219.72,Shanghai,2025-03-24
YETI CUSTOM DOMESTIC CORP,BYD Auto,8703.80,47999.78,338106.41,Shanghai,2025-05-02
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,3923.10,13392.4,245465.11,Long Beach,2025-04-19
Nike Inc. ,LG Chem,8542.31,33985.51,698384.95,Long Beach,2025-11-15
NIKE USA INC,Foxconn Technology,3923.10,24762.48,1928176.82,Long Beach,2025-03-23
Nike Inc. ,TSMC,6404.11,39837.82,689201.41,Los Angeles,2025-12-09
Nike Inc. ,Shenzhen Plastics Co,8703.80,41372.85,1606828.19,Shanghai,2025-08-16
YETI CUSTOM DOMESTIC ,LG Chem,8703.80,8465.39,1594273.17,Long Beach,2026-02-22
Apple Inc. ,Shenzhen Plastics Co,3923.10,10157.45,107145.1,Long Beach,2025-12-21
YETI CUSTOM DOMESTIC ,TSMC,8542.31,29291.81,1105816.21,Rotterdam,2025-11-18
Yeti Coolers LLC LTD,Foxconn Technology,3923.10,3640.63,1588358.35,Long Beach,2025-07-10
NIKE USA LTD,Pou Chen Corp,3923.10,49703.66,157292.84,Rotterdam,2025-12-02
APPLE OPERATIONS INTL CORP,Foxconn Technology,8517.12,7125.73,273921.39,Shenzhen,2025-04-10
Yeti Coolers LLC CORP,Pou Chen Corp,8703.80,7669.01,1156292.73,Long Beach,2025-07-18
Yeti Coolers LLC ,Foxconn Technology,8542.31,45728.04,981969.85,Long Beach,2025-10-01
Tesla Motors CORP,LG Chem,8703.80,20513.04,1999609.31,Rotterdam,2025-05-21
Apple Inc. ,Pou Chen Corp,8703.80,36300.88,1560347.19,Ho Chi Minh,2025-07-29
Nike Inc. ,Shenzhen Plastics Co,3923.10,37499.76,1214984.34,Shenzhen,2025-10-27
Apple Inc. ,Shenzhen Plastics Co,3923.10,6941.92,1386564.65,Shenzhen,2025-04-26
Yeti Coolers LLC CORP,Vietnam Manuf Group,8542.31,1074.6,930976.94,Los Angeles,2026-02-01
Nike Inc. CORP,TSMC,3923.10,29610.25,1966188.42,Ho Chi Minh,2025-11-03
NIKE USA INC,Vietnam Manuf Group,6404.11,10952.76,915252.03,Los Angeles,2025-12-13
NIKE USA INC,Vietnam Manuf Group,8542.31,39450.83,1215237.33,Shenzhen,2025-08-27
Yeti Coolers LLC CORP,Foxconn Technology,3923.10,5081.33,1888025.51,Long Beach,2025-08-22
APPLE OPERATIONS INTL ,TSMC,6404.11,26964.16,852705.27,Shenzhen,2025-09-13
YETI CUSTOM DOMESTIC CORP,TSMC,6404.11,47638.36,1581948.91,Los Angeles,2025-06-10
APPLE OPERATIONS INTL CORP,Foxconn Technology,6404.11,34249.98,275514.19,Rotterdam,2025-08-06
Apple Inc. CORP,TSMC,6404.11,37615.97,1451336.66,Los Angeles,2025-08-24
YETI CUSTOM DOMESTIC INC,BYD Auto,8542.31,15640.9,391130.32,Los Angeles,2025-04-19
Samsung Electronics LTD,Shenzhen Plastics Co,8542.31,3640.45,1153579.44,Shanghai,2025-04-21
Samsung Electronics INC,Foxconn Technology,3923.10,3372.35,699765.66,Rotterdam,2025-04-16
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,3923.10,27612.44,1943140.65,Long Beach,2025-04-22
APPLE OPERATIONS INTL LTD,Shenzhen Plastics Co,8703.80,42824.64,1067527.7,Shenzhen,2025-03-20
YETI CUSTOM DOMESTIC LTD,Vietnam Manuf Group,8542.31,43590.31,24856.28,Shanghai,2025-03-23
Nike Inc. INC,TSMC,6404.11,21799.68,439509.1,Shanghai,2025-03-20
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,3923.10,33504.19,1048211.58,Los Angeles,2025-07-11
Yeti Coolers LLC LTD,LG Chem,8703.80,33556.77,454293.99,Long Beach,2025-11-24
Tesla Motors CORP,Vietnam Manuf Group,3923.10,21368.87,1974774.67,Ho Chi Minh,2026-01-09
APPLE OPERATIONS INTL ,Foxconn Technology,8703.80,40029.31,1719904.0,Los Angeles,2025-05-23
Yeti Coolers LLC ,Vietnam Manuf Group,3923.10,10937.71,729780.03,Ho Chi Minh,2025-06-19
Tesla Motors INC,Pou Chen Corp,6404.11,37056.09,1354458.32,Shenzhen,2026-02-13
YETI CUSTOM DOMESTIC ,Pou Chen Corp,8542.31,20010.28,815552.3,Los Angeles,2025-07-24
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8703.80,46704.33,1722107.07,Ho Chi Minh,2025-09-30
Apple Inc. INC,Pou Chen Corp,8517.12,8711.61,26597.83,Los Angeles,2026-01-26
Nike Inc. INC,Vietnam Manuf Group,6404.11,7618.89,282740.21,Rotterdam,2025-05-24
APPLE OPERATIONS INTL CORP,Vietnam Manuf Group,8703.80,48665.56,1291007.9,Rotterdam,2025-09-11
Yeti Coolers LLC CORP,Pou Chen Corp,8542.31,49914.25,1447962.72,Los Angeles,2025-07-12
YETI CUSTOM DOMESTIC LTD,Foxconn Technology,8703.80,7864.1,426767.59,Ho Chi Minh,2026-02-13
Tesla Motors ,Pou Chen Corp,8703.80,8119.93,879512.42,Rotterdam,2025-12-24
NIKE USA ,TSMC,8542.31,19828.39,1416460.24,Ho Chi Minh,2026-03-15
YETI CUSTOM DOMESTIC CORP,Shenzhen Plastics Co,3923.10,33782.35,938367.09,Los Angeles,2025-04-03
YETI CUSTOM DOMESTIC LTD,BYD Auto,8542.31,36908.17,1214947.37,Rotterdam,2025-04-27
Nike Inc. ,Shenzhen Plastics Co,8542.31,42108.39,21054.26,Rotterdam,2025-09-29
YETI CUSTOM DOMESTIC LTD,LG Chem,3923.10,21710.13,909180.68,Shanghai,2025-09-10
YETI CUSTOM DOMESTIC CORP,BYD Auto,8703.80,12743.38,1587478.96,Los Angeles,2025-10-26
Yeti Coolers LLC INC,TSMC,3923.10,31051.71,1658044.32,Long Beach,2026-02-24
Nike Inc. ,Shenzhen Plastics Co,6404.11,8442.6,57516.09,Los Angeles,2025-03-18
Nike Inc. ,Pou Chen Corp,6404.11,43598.01,1625165.76,Long Beach,2025-07-14
Samsung Electronics CORP,Shenzhen Plastics Co,8517.12,9869.33,1399783.93,Ho Chi Minh,2025-12-05
NIKE USA INC,Pou Chen Corp,3923.10,47465.53,177869.66,Shanghai,2026-02-01
Nike Inc. CORP,LG Chem,8542.31,45810.44,1112445.23,Shanghai,2025-06-09
Apple Inc. ,Shenzhen Plastics Co,3923.10,17006.11,1604181.34,Long Beach,2025-11-02
APPLE OPERATIONS INTL INC,Shenzhen Plastics Co,8703.80,34529.25,804627.8,Shanghai,2025-03-31
Tesla Motors ,Shenzhen Plastics Co,8703.80,35127.36,597731.21,Shenzhen,2025-12-27
Apple Inc. ,TSMC,8703.80,22649.36,1040976.15,Long Beach,2025-07-15
Samsung Electronics CORP,Foxconn Technology,8703.80,24169.5,434341.06,Long Beach,2025-08-03
Nike Inc. LTD,Pou Chen Corp,3923.10,30129.89,1910732.93,Los Angeles,2026-01-31
Samsung Electronics LTD,Shenzhen Plastics Co,3923.10,30615.85,830923.79,Shanghai,2026-01-31
APPLE OPERATIONS INTL LTD,BYD Auto,8517.12,13225.59,1743759.75,Ho Chi Minh,2026-03-08
YETI CUSTOM DOMESTIC INC,TSMC,3923.10,18986.11,86318.27,Rotterdam,2026-02-15
YETI CUSTOM DOMESTIC ,TSMC,8517.12,39815.23,1190446.65,Long Beach,2026-03-13
NIKE USA CORP,TSMC,8517.12,11251.86,54038.89,Rotterdam,2025-12-05
Yeti Coolers LLC INC,TSMC,8542.31,2173.24,1944741.07,Long Beach,2025-11-28
NIKE USA INC,LG Chem,8517.12,30209.51,1509908.67,Rotterdam,2025-12-08
Nike Inc. LTD,Foxconn Technology,8542.31,39322.11,679296.78,Ho Chi Minh,2025-03-31
Nike Inc. INC,Foxconn Technology,3923.10,20626.53,935213.97,Los Angeles,2025-10-17
Apple Inc. LTD,BYD Auto,3923.10,28343.02,1976650.65,Ho Chi Minh,2025-09-26
Nike Inc. CORP,Shenzhen Plastics Co,8517.12,40654.78,923908.22,Ho Chi Minh,2025-04-18
Yeti Coolers LLC ,Shenzhen Plastics Co,8703.80,33026.65,1937051.48,Long Beach,2025-10-13
Yeti Coolers LLC LTD,Vietnam Manuf Group,8703.80,35613.46,933144.52,Rotterdam,2025-09-07
Samsung Electronics CORP,Shenzhen Plastics Co,8703.80,20714.82,1451798.76,Los Angeles,2025-05-22
NIKE USA LTD,BYD Auto,8517.12,26228.99,263688.9,Shenzhen,2025-12-30
Nike Inc. CORP,Shenzhen Plastics Co,8542.31,19979.45,726550.81,Long Beach,2025-07-22
NIKE USA INC,Shenzhen Plastics Co,8542.31,35157.24,1775686.25,Shanghai,2026-01-24
Tesla Motors ,TSMC,3923.10,33226.94,1087120.51,Long Beach,2025-06-16
NIKE USA CORP,Vietnam Manuf Group,6404.11,15580.68,1570209.01,Shanghai,2025-09-01
Apple Inc. ,BYD Auto,6404.11,6993.92,488073.68,Shenzhen,2025-05-16
Apple Inc. INC,Foxconn Technology,8517.12,22097.24,555375.99,Los Angeles,2026-02-25
APPLE OPERATIONS INTL INC,BYD Auto,8542.31,33705.48,1736982.7,Long Beach,2025-03-27
Yeti Coolers LLC ,Vietnam Manuf Group,8703.80,8414.44,1540932.3,Shenzhen,2025-10-29
APPLE OPERATIONS INTL CORP,Foxconn Technology,8542.31,29107.63,1505736.55,Shanghai,2025-11-19
APPLE OPERATIONS INTL LTD,Foxconn Technology,8517.12,28763.14,622840.37,Rotterdam,2025-12-15
Tesla Motors LTD,Shenzhen Plastics Co,8542.31,35650.97,1825073.55,Shenzhen,2025-08-04
Yeti Coolers LLC CORP,Vietnam Manuf Group,8517.12,7753.85,874668.68,Shenzhen,2025-10-18
Yeti Coolers LLC INC,Vietnam Manuf Group,3923.10,10758.91,462318.45,Shenzhen,2026-03-04
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,3923.10,21501.72,1650991.14,Rotterdam,2025-10-13
Apple Inc. LTD,BYD Auto,6404.11,8952.1,487781.65,Ho Chi Minh,2025-05-03
Samsung Electronics ,Shenzhen Plastics Co,8703.80,26630.79,1682256.59,Long Beach,2026-02-21
Samsung Electronics CORP,Pou Chen Corp,6404.11,43928.84,611467.95,Rotterdam,2025-05-20
Yeti Coolers LLC LTD,Foxconn Technology,8703.80,33401.12,133215.63,Long Beach,2025-06-02
Apple Inc. LTD,Foxconn Technology,3923.10,47098.08,897930.53,Ho Chi Minh,2025-06-11
Yeti Coolers LLC LTD,TSMC,6404.11,2273.96,1423714.07,Los Angeles,2026-01-12
Tesla Motors INC,LG Chem,6404.11,39201.77,1381953.01,Los Angeles,2025-10-28
Tesla Motors CORP,Foxconn Technology,8703.80,10062.62,1094812.38,Shenzhen,2025-09-08
APPLE OPERATIONS INTL ,BYD Auto,8517.12,8913.72,1014819.81,Long Beach,2026-02-01
Yeti Coolers LLC INC,BYD Auto,6404.11,10587.62,1182835.97,Rotterdam,2026-03-01
Nike Inc. LTD,Vietnam Manuf Group,6404.11,24220.37,189830.83,Los Angeles,2025-04-16
Tesla Motors LTD,BYD Auto,3923.10,8879.5,806965.41,Rotterdam,2025-04-22
YETI CUSTOM DOMESTIC ,Foxconn Technology,8517.12,27178.0,1691149.38,Los Angeles,2025-11-14
Samsung Electronics LTD,TSMC,8542.31,35544.01,1570921.38,Shenzhen,2025-12-27
APPLE OPERATIONS INTL LTD,Shenzhen Plastics Co,6404.11,38085.1,646881.69,Shenzhen,2026-02-24
Yeti Coolers LLC ,Vietnam Manuf Group,8517.12,11450.94,1031957.11,Ho Chi Minh,2025-12-27
APPLE OPERATIONS INTL LTD,Shenzhen Plastics Co,6404.11,49526.48,1927702.93,Long Beach,2025-12-08
NIKE USA LTD,Pou Chen Corp,6404.11,9623.03,269666.5,Ho Chi Minh,2025-11-20
APPLE OPERATIONS INTL INC,Foxconn Technology,8703.80,35737.77,503981.12,Shanghai,2025-05-26
Nike Inc. LTD,Shenzhen Plastics Co,8517.12,34186.31,1092131.78,Shanghai,2025-12-02
Nike Inc. INC,TSMC,3923.10,11763.58,912981.13,Los Angeles,2026-01-08
APPLE OPERATIONS INTL CORP,Shenzhen Plastics Co,3923.10,31231.88,30467.07,Ho Chi Minh,2025-09-12
Tesla Motors INC,TSMC,8517.12,18990.34,1465213.7,Los Angeles,2025-11-04
Nike Inc. INC,Vietnam Manuf Group,8703.80,26946.69,1557573.42,Shenzhen,2025-07-03
Yeti Coolers LLC ,Pou Chen Corp,8517.12,21984.24,517418.67,Shanghai,2025-06-14
Tesla Motors CORP,Pou Chen Corp,6404.11,4517.73,207153.36,Los Angeles,2026-01-10
Tesla Motors INC,LG Chem,6404.11,13025.8,1531095.49,Shanghai,2026-03-08
Tesla Motors CORP,Foxconn Technology,8517.12,32129.69,1559317.94,Shenzhen,2025-10-21
Yeti Coolers LLC ,Shenzhen Plastics Co,3923.10,46222.41,1041239.19,Rotterdam,2026-01-03
Apple Inc. CORP,Pou Chen Corp,8542.31,31244.28,705697.99,Long Beach,2025-03-24
APPLE OPERATIONS INTL INC,Vietnam Manuf Group,8542.31,43182.64,1754193.12,Los Angeles,2025-10-29
Yeti Coolers LLC INC,TSMC,8703.80,22091.58,1478019.32,Shanghai,2025-08-20
Yeti Coolers LLC ,TSMC,8703.80,18396.65,341128.69,Los Angeles,2025-10-04
Samsung Electronics ,TSMC,8517.12,21508.29,455332.19,Shanghai,2026-01-19
APPLE OPERATIONS INTL ,TSMC,8542.31,38467.91,314714.89,Rotterdam,2026-03-05
YETI CUSTOM DOMESTIC INC,LG Chem,8703.80,5925.72,1954708.56,Shanghai,2025-09-26
Tesla Motors ,Foxconn Technology,3923.10,24356.4,1637402.13,Shanghai,2025-05-13
Nike Inc. INC,BYD Auto,6404.11,7904.86,503242.14,Los Angeles,2025-09-04
Nike Inc. LTD,Vietnam Manuf Group,8517.12,37645.77,747985.93,Long Beach,2026-02-09
Tesla Motors CORP,LG Chem,3923.10,6004.17,1745283.87,Ho Chi Minh,2025-03-30
Yeti Coolers LLC CORP,Shenzhen Plastics Co,8703.80,33933.38,1048479.94,Shenzhen,2025-10-11
Tesla Motors INC,Vietnam Manuf Group,8542.31,47002.97,1741792.94,Shenzhen,2025-12-22
APPLE OPERATIONS INTL ,Foxconn Technology,8542.31,13063.94,1963430.28,Los Angeles,2025-06-14
Yeti Coolers LLC LTD,Pou Chen Corp,8542.31,6070.58,1783531.52,Rotterdam,2025-11-30
Yeti Coolers LLC LTD,LG Chem,8517.12,14563.74,629234.88,Shanghai,2025-05-15
APPLE OPERATIONS INTL LTD,Vietnam Manuf Group,8703.80,11172.16,649526.0,Shanghai,2025-12-19
Tesla Motors INC,Foxconn Technology,8542.31,4578.19,1914956.38,Ho Chi Minh,2025-06-06
Apple Inc. LTD,BYD Auto,8517.12,43167.45,422394.27,Rotterdam,2025-10-11
Nike Inc. INC,TSMC,3923.10,33326.26,475323.0,Shanghai,2025-07-09
Yeti Coolers LLC CORP,Pou Chen Corp,6404.11,13105.82,1694534.66,Long Beach,2025-10-15
Apple Inc. CORP,TSMC,6404.11,38607.61,718660.17,Ho Chi Minh,2025-10-09
Samsung Electronics ,Pou Chen Corp,3923.10,17082.68,498401.26,Rotterdam,2025-08-28
Yeti Coolers LLC INC,Shenzhen Plastics Co,8703.80,30351.24,302434.52,Shenzhen,2025-08-30
Tesla Motors CORP,Pou Chen Corp,8703.80,28843.06,1716304.23,Los Angeles,2025-08-29
Tesla Motors LTD,LG Chem,6404.11,28484.06,1671513.72,Shanghai,2025-05-15
Nike Inc. CORP,Shenzhen Plastics Co,8542.31,2534.09,36636.59,Long Beach,2025-06-01
Nike Inc. ,Vietnam Manuf Group,8703.80,37218.99,469821.86,Long Beach,2025-10-19
APPLE OPERATIONS INTL ,LG Chem,8542.31,18543.59,639562.63,Los Angeles,2025-06-07
Nike Inc. ,Vietnam Manuf Group,8703.80,35501.78,599630.06,Rotterdam,2025-09-14
Samsung Electronics LTD,Pou Chen Corp,8542.31,3538.54,628409.1,Shenzhen,2025-05-10
Apple Inc. LTD,Vietnam Manuf Group,8542.31,35312.22,1888150.83,Shenzhen,2026-02-10
APPLE OPERATIONS INTL CORP,BYD Auto,6404.11,7475.52,1134698.03,Ho Chi Minh,2026-01-08
Samsung Electronics ,TSMC,8703.80,25070.26,1173941.31,Los Angeles,2026-03-10
Nike Inc. INC,Foxconn Technology,8517.12,33460.37,1603642.47,Shenzhen,2025-11-11
APPLE OPERATIONS INTL LTD,BYD Auto,6404.11,33593.37,1948550.02,Long Beach,2025-05-24
Samsung Electronics INC,Pou Chen Corp,8517.12,23764.38,1263943.58,Shenzhen,2025-08-18
Samsung Electronics ,Vietnam Manuf Group,6404.11,43434.72,84948.41,Rotterdam,2026-01-04
APPLE OPERATIONS INTL LTD,Pou Chen Corp,8703.80,48975.57,728757.31,Long Beach,2025-03-31
YETI CUSTOM DOMESTIC ,Shenzhen Plastics Co,3923.10,27133.01,1718216.44,Long Beach,2025-03-22
Nike Inc. INC,Vietnam Manuf Group,3923.10,14875.84,1078254.18,Shanghai,2026-01-15
Tesla Motors CORP,Pou Chen Corp,8542.31,33086.94,865711.05,Shanghai,2025-12-17
Yeti Coolers LLC ,BYD Auto,8542.31,43540.39,27819.86,Rotterdam,2026-02-12
APPLE OPERATIONS INTL CORP,TSMC,8703.80,25923.87,999540.87,Los Angeles,2026-03-03
Yeti Coolers LLC CORP,LG Chem,3923.10,26851.95,604200.01,Long Beach,2025-12-27
Yeti Coolers LLC INC,Shenzhen Plastics Co,3923.10,8894.12,1905692.41,Long Beach,2025-11-04
Apple Inc. ,BYD Auto,8542.31,19497.4,48881.1,Los Angeles,2025-04-16
Samsung Electronics ,Vietnam Manuf Group,3923.10,3522.15,1253234.87,Shenzhen,2025-03-22
YETI CUSTOM DOMESTIC INC,Vietnam Manuf Group,8517.12,15839.56,1052620.91,Shenzhen,2025-10-28
NIKE USA CORP,Shenzhen Plastics Co,3923.10,47251.6,1326779.03,Los Angeles,2026-01-18
Nike Inc. LTD,Pou Chen Corp,6404.11,3680.81,475778.23,Ho Chi Minh,2025-09-13
Nike Inc. CORP,BYD Auto,8517.12,33367.5,1867669.4,Shanghai,2025-12-28
Yeti Coolers LLC LTD,TSMC,6404.11,36664.19,1679361.1,Ho Chi Minh,2026-02-03
APPLE OPERATIONS INTL LTD,LG Chem,3923.10,4558.49,1557837.44,Los Angeles,2025-10-10
Samsung Electronics CORP,LG Chem,6404.11,34706.05,1006402.89,Rotterdam,2025-03-29
Tesla Motors ,Pou Chen Corp,8517.12,42628.14,417192.18,Shanghai,2025-04-03
Nike Inc. INC,Foxconn Technology,8517.12,46571.66,608997.13,Long Beach,2026-02-20
Apple Inc. LTD,Vietnam Manuf Group,8517.12,32908.58,343091.62,Los Angeles,2025-06-09
Samsung Electronics LTD,Foxconn Technology,8517.12,43984.23,1603054.26,Rotterdam,2026-02-13
APPLE OPERATIONS INTL ,Vietnam Manuf Group,8542.31,12588.0,876433.12,Ho Chi Minh,2025-09-30
APPLE OPERATIONS INTL INC,Foxconn Technology,8703.80,48552.01,1325383.77,Rotterdam,2025-05-04
Apple Inc. ,Vietnam Manuf Group,3923.10,31111.9,615522.25,Shenzhen,2025-10-15
NIKE USA LTD,LG Chem,8542.31,15061.88,126834.72,Shenzhen,2025-11-11
APPLE OPERATIONS INTL CORP,Pou Chen Corp,8542.31,27774.54,1479779.67,Long Beach,2025-10-28
NIKE USA INC,TSMC,6404.11,22446.9,1689597.15,Ho Chi Minh,2025-09-29
Apple Inc. LTD,LG Chem,8542.31,25787.15,735939.3,Shenzhen,2025-08-12
Tesla Motors ,Shenzhen Plastics Co,6404.11,20082.61,847097.31,Los Angeles,2025-12-07
Nike Inc. INC,Shenzhen Plastics Co,3923.10,25433.28,1923356.01,Rotterdam,2025-04-27
YETI CUSTOM DOMESTIC CORP,BYD Auto,6404.11,24455.6,931162.44,Rotterdam,2025-07-24
Nike Inc. LTD,Foxconn Technology,8703.80,15023.28,1928702.41,Long Beach,2025-11-29
